indicx,no_cidade
"58.87","Nilópolis"
"57.77","Paineiras"
"23.70","Mulungu do Morro"
"40.32","Arraial"
"51.31","Poção"
"70.37","Ibitiúra de Minas"
"54.54","Nova Aurora"
"59.09","Santa Cruz do Xingu"
"51.90","Presidente Dutra"
"42.85","Santo Amaro das Brotas"
"44.44","Santa Filomena do Maranhão"
"66.12","Taiaçu"
"70.00","Serra Nova Dourada"
"80.55","Bom Jardim de Minas"
"36.93","Itagi"
"91.72","Jandaia do Sul"
"39.09","Trindade"
"58.20","Planaltina do Paraná"
"77.14","Ibituruna"
"46.66","Areia de Baraúnas"
"47.87","Planaltina"
"41.57","Palmeira do Piauí"
"95.86","Marilândia do Sul"
"69.56","São Francisco"
"90.06","Santa Rita do Sapucaí"
"75.54","Assaí"
"30.28","Itaporanga"
"66.66","São João de Iracema"
"80.99","Dores de Campos"
"56.02","Cabo Frio"
"70.05","Naviraí"
"85.00","Torre de Pedra"
"12.50","Cravolândia"
"80.76","Cachoeira Dourada"
"95.55","São João do Ivaí"
"95.04","Guaraçaí"
"55.62","Pirassununga"
"83.33","Santa Tereza"
"89.24","Guairaçá"
"63.94","Abre Campo"
"77.77","Sagres"
"15.15","Itaubal"
"53.28","Campinápolis"
"91.89","Senador Salgado Filho"
"50.50","Rubelita"
"28.40","Canapi"
"59.11","Morrinhos"
"90.00","Itanhandu"
"66.46","Uberaba"
"56.41","Rio Crespo"
"75.40","Itaara"
"79.09","Agudos do Sul"
"31.22","Baião"
"69.04","Vargem Alegre"
"16.71","Mirador"
"49.55","Desterro"
"73.52","Matozinhos"
"64.00","Fama"
"88.46","Novo Horizonte do Norte"
"40.19","Jacuípe"
"18.34","Peixe-Boi"
"62.05","Ipubi"
"67.52","Ferraz de Vasconcelos"
"25.21","Itaquara"
"36.66","Alpercata"
"29.76","Fartura do Piauí"
"88.88","Olímpio Noronha"
"66.80","Sumé"
"81.08","Jaboticaba"
"94.73","Vitória Brasil"
"84.39","Tarumã"
"52.10","Itapiranga"
"86.85","Mineiros do Tietê"
"54.12","Canaã dos Carajás"
"75.80","Passo do Sobrado"
"100.00","Pracinha"
"0","Paraíso das Águas"
"27.73","Jaramataia"
"48.17","Cuitegi"
"36.66","Novo Santo Antônio"
"72.41","Mairipotaba"
"94.11","Jundiaí do Sul"
"91.83","Picada Café"
"79.98","Bragança Paulista"
"86.95","Santo Antônio do Planalto"
"76.11","Espírito Santo do Pinhal"
"74.69","Riversul"
"72.72","Barra do Guarita"
"14.51","Alcântara"
"83.33","Murutinga do Sul"
"95.75","Guabiruba"
"61.03","Ibiara"
"40.16","Filadélfia"
"66.95","Rio do Pires"
"85.98","Panambi"
"27.41","Santana do Piauí"
"41.93","Ouro Branco"
"77.77","Arroio do Padre"
"84.61","São João do Manteninha"
"69.10","São Domingos"
"30.00","Presidente Vargas"
"38.46","Chiador"
"79.79","Palmitos"
"94.11","Turiúba"
"12.79","Pau Brasil"
"43.75","Santa Tereza do Tocantins"
"33.22","Campo Alegre"
"86.88","Mutunópolis"
"80.64","Campestre de Goiás"
"74.77","Itamogi"
"84.15","Barroso"
"52.38","Santo Antônio do Jacinto"
"74.88","Viçosa do Ceará"
"37.99","Itanhém"
"68.75","Oliveira de Fátima"
"53.42","Cedro de São João"
"54.73","Santa Cecília"
"54.11","Cabeceiras"
"46.00","Capetinga"
"87.71","Cajobi"
"59.51","Sete Barras"
"46.23","Santa Rita"
"34.38","Quipapá"
"17.95","Bujaru"
"68.96","Nacip Raydan"
"43.09","Feira de Santana"
"76.47","Miradouro"
"67.41","Sinop"
"100.00","Relvado"
"56.80","São Roque do Canaã"
"97.95","Nova Cantu"
"84.37","Santa Mercedes"
"77.86","Santo Anastácio"
"88.48","Mandaguari"
"34.06","Lamarão"
"47.27","Porto Seguro"
"41.37","Cristalândia do Piauí"
"59.18","Dores de Guanhães"
"72.47","Barra de São Miguel"
"92.00","Imigrante"
"65.57","Vacaria"
"39.06","Vila Boa"
"85.25","Marialva"
"41.83","Itaueira"
"72.72","Vieirópolis"
"72.00","São Bernardino"
"90.90","Jupiá"
"60.37","Leme do Prado"
"87.17","Manfrinópolis"
"78.04","Nova Iguaçu de Goiás"
"57.81","Aporé"
"78.26","Massaranduba"
"68.11","Conquista"
"56.53","Abaré"
"96.96","Vila Flores"
"78.24","Bela Vista"
"74.02","Santa Maria da Serra"
"66.81","Santa Maria"
"38.04","Coqueiro Seco"
"64.86","São José da Bela Vista"
"65.90","Juramento"
"36.50","Maetinga"
"33.63","João Câmara"
"15.05","Governador Nunes Freire"
"63.42","Sengés"
"68.14","Joaçaba"
"84.55","Fernandópolis"
"77.69","Botuporã"
"35.73","Regeneração"
"82.53","Júlio Mesquita"
"79.83","Mostardas"
"85.81","Canápolis"
"91.75","Maracaí"
"10.42","Benjamin Constant"
"11.77","Peritoró"
"56.29","Caaporã"
"84.98","Barretos"
"83.47","Palestina"
"86.07","Luís Antônio"
"47.05","Roncador"
"74.26","São Pedro do Sul"
"10.71","Barra do Corda"
"49.75","Candeias"
"68.96","Baliza"
"78.71","Bom Sucesso"
"72.52","Coromandel"
"45.96","Serra dos Aimorés"
"88.00","São Domingos do Sul"
"73.28","Corumbiara"
"58.46","Jucati"
"69.39","Guarapuava"
"65.38","União de Minas"
"71.98","São Francisco de Paula"
"26.21","Timon"
"69.89","Penaforte"
"65.90","Paranatinga"
"82.55","Monte Alegre do Sul"
"64.31","Trairi"
"63.53","Tejuçuoca"
"39.04","Capela do Alto Alegre"
"42.73","Candeias do Jamari"
"4.64","Bacabal"
"67.67","Inhapim"
"26.96","Queimada Nova"
"92.85","Goioerê"
"75.00","Sede Nova"
"80.17","Ribeirão Claro"
"73.07","Rio dos Índios"
"72.72","Guarujá do Sul"
"92.59","São Pedro do Paraná"
"15.73","Ibirapitanga"
"58.27","Marcação"
"57.72","Maracanaú"
"84.40","Balneário Piçarras"
"86.36","Pedranópolis"
"54.05","Bertópolis"
"74.87","Mogi Mirim"
"57.42","Jaguaruna"
"51.92","Divino de São Lourenço"
"41.97","Senador Elói de Souza"
"56.18","Várzea Grande"
"82.99","Goianira"
"78.18","Senador Canedo"
"56.37","Unaí"
"50.00","Águas Vermelhas"
"44.93","Conceição do Jacuípe"
"73.91","Bananal"
"44.00","Campestre"
"38.57","Ingazeira"
"64.91","Vila Propício"
"44.65","Barra do Choça"
"100.00","Independência"
"64.24","Gurupi"
"52.76","Alta Floresta"
"40.71","São José de Mipibu"
"78.52","Sooretama"
"67.60","Aliança do Tocantins"
"45.83","Japaratinga"
"66.66","Rio Paranaíba"
"44.16","Nova Iguaçu"
"25.88","Campinas do Piauí"
