indicx,no_cidade
"79.06","São Francisco"
"73.46","Maturéia"
"57.72","São Tiago"
"45.23","Rio Espera"
"93.75","São João do Pau d'Alho"
"35.01","Barra de Santo Antônio"
"67.90","Nova Colinas"
"31.81","Feira Nova"
"61.44","Porangaba"
"61.53","General Maynard"
"62.50","Caiçara"
"81.18","Major Vieira"
"93.75","Alpestre"
"49.92","Viamão"
"31.44","Curimatá"
"87.50","Toropi"
"72.00","Itapura"
"97.43","Rodeio Bonito"
"87.25","Arceburgo"
"68.29","Anta Gorda"
"81.21","São Vicente do Seridó"
"70.93","Nova Santa Rita"
"62.56","Biritiba-Mirim"
"43.91","Aracatu"
"53.62","Isaías Coelho"
"46.45","Porto Esperidião"
"87.79","São Miguel do Iguaçu"
"80.85","São Sebastião da Grama"
"82.75","Itaju"
"61.88","Pires do Rio"
"67.31","Pirapora do Bom Jesus"
"45.83","Fátima"
"46.78","Primavera"
"28.84","Santa Terezinha"
"18.93","Maragogi"
"65.21","Ipueira"
"35.64","Planaltino"
"57.35","Acopiara"
"28.26","Antônio Cardoso"
"43.20","Jacobina do Piauí"
"66.30","Nova Glória"
"33.97","Itatim"
"43.15","Montalvânia"
"65.11","Goiandira"
"86.70","Mariluz"
"60.00","Capitão Andrade"
"44.09","Aramari"
"24.13","Jucuruçu"
"68.29","Reduto"
"64.51","Guadalupe"
"78.67","Bananeiras"
"16.83","Cansanção"
"58.95","São João do Triunfo"
"95.25","Miguelópolis"
"74.57","Damianópolis"
"76.19","Palminópolis"
"28.20","Pau D'Arco do Piauí"
"20.53","Paripiranga"
"34.14","Mundo Novo"
"81.08","Matutina"
"71.83","Itaú"
"70.96","Putinga"
"86.66","Tigrinhos"
"76.41","Espinosa"
"47.36","Bocaina do Sul"
"91.30","São João das Duas Pontes"
"77.58","Aceguá"
"33.33","São Miguel do Gostoso"
"39.93","Porto Acre"
"80.55","Aparecida do Rio Doce"
"66.66","Santa Cruz de Goiás"
"94.31","Palmeira d'Oeste"
"79.84","Santa Bárbara"
"31.17","Queimadas"
"86.66","Três Arroios"
"94.44","Gabriel Monteiro"
"55.69","Milhã"
"60.95","Cruzeta"
"89.21","Alumínio"
"29.92","Santo Antônio dos Lopes"
"63.46","Umari"
"80.00","Anitápolis"
"72.00","São Fernando"
"37.60","Santo Antônio de Jesus"
"37.15","Rorainópolis"
"63.04","Camaragibe"
"60.76","Boqueirão"
"92.62","Matelândia"
"30.92","São Bento"
"22.72","Santa Inês"
"64.58","São Joaquim de Bicas"
"76.98","Carambeí"
"83.63","Cacique Doble"
"68.50","Itapevi"
"61.83","Piancó"
"72.77","Aracati"
"77.33","Indaiabira"
"97.05","Cristal do Sul"
"86.30","Palmitinho"
"64.83","Passo Fundo"
"73.92","Jaboticabal"
"87.50","Uniflor"
"26.66","Bom Jesus do Tocantins"
"53.14","Rio do Fogo"
"64.28","Cruzeiro da Fortaleza"
"46.87","Petrolina"
"44.09","Santa Luzia D'Oeste"
"27.77","Betânia do Piauí"
"58.71","Jati"
"56.97","Itumbiara"
"75.00","Pajeú do Piauí"
"78.12","Vale Verde"
"16.91","Ponta Porã"
"34.21","Porto Alegre do Piauí"
"46.15","Camalaú"
"45.23","José Raydan"
"60.22","Altaneira"
"86.64","Paulínia"
"45.23","Angico"
"80.53","Palma Sola"
"34.09","Palmeirândia"
"45.09","Mar Vermelho"
"83.84","Arapoti"
"71.96","Poá"
"61.70","Leoberto Leal"
"56.09","Serro"
"32.98","Santa Helena de Minas"
"10.71","Lagoa Grande do Maranhão"
"55.00","Branquinha"
"60.54","Orobó"
"76.92","São José das Palmeiras"
"45.73","Brejo do Cruz"
"44.06","Combinado"
"63.00","Macaúbas"
"70.83","Várzea"
"59.39","Passira"
"55.76","Várzea Grande"
"75.47","Fazenda Vilanova"
"92.31","Caçapava"
"20.78","Serra do Ramalho"
"86.95","Vargem Bonita"
"32.35","Santa Cruz do Piauí"
"81.91","Equador"
"97.59","Descanso"
"26.08","Nilo Peçanha"
"75.40","Indiana"
"30.32","Canto do Buriti"
"27.10","Moju"
"75.00","Rondon"
"75.40","Dom Joaquim"
"34.40","Caldeirão Grande"
"71.05","Inaciolândia"
"84.61","Sulina"
"49.69","São Lourenço da Mata"
"58.33","Jardinópolis"
"42.26","Lagoa Grande"
"38.01","Canavieiras"
"60.86","Maurilândia"
"20.24","São João Batista"
"20.66","Faro"
"17.17","Presidente Médici"
"35.13","Medina"
"75.94","Limeira"
"21.65","Conceição do Coité"
"21.97","Salvaterra"
"45.71","Ermo"
"74.28","Governador Mangabeira"
"39.47","Pindoba"
"43.25","Serrolândia"
"40.98","Socorro do Piauí"
"30.65","Belterra"
"78.11","Bebedouro"
"38.33","Sobrália"
"50.00","Urupema"
"96.53","Clevelândia"
"83.87","Santana do Seridó"
"43.47","Lajeado"
"59.45","Ascurra"
"59.23","Sigefredo Pacheco"
"57.36","Queluz"
"89.47","São Pedro do Ivaí"
"76.06","Santa Teresa"
"52.17","Santo Inácio do Piauí"
"80.76","Carangola"
"31.54","Santaluz"
"6.14","Paulino Neves"
"85.96","Campos Novos Paulista"
"6.45","Remanso"
"62.82","Florestal"
"24.71","Ituberá"
"29.80","Porto Real do Colégio"
"55.26","Joca Claudino"
"66.24","Parobé"
"38.48","Limoeiro de Anadia"
"100.00","Novo Xingu"
"14.40","Alto Alegre"
"27.41","Francisco Ayres"
"41.66","Major Gercino"
"54.54","Iaçu"
"76.97","Santa Juliana"
"50.09","São Bernardo"
"44.56","Paulo Afonso"
"100.00","Ibiaçá"
"41.11","São Raimundo das Mangabeiras"
"36.14","Jaru"
"90.00","Iracema do Oeste"
"23.04","Calçoene"
"87.13","Jaú"
"71.81","Taió"
"68.00","São João do Pacuí"
"64.47","Rio Novo"
"74.74","Primeiro de Maio"
"58.10","Nova Veneza"
"49.18","Fátima"
"95.45","Serranos"
"37.02","Utinga"
"38.40","Caraúbas"
"90.00","Pinheiro Preto"
"92.17","Passa Quatro"
"19.84","Cachoeira do Arari"
"22.74","Batalha"
"42.78","Buriti"
"23.59","São Miguel do Guamá"
"44.14","Urupá"
"80.00","Israelândia"
"77.16","Praia Grande"
"36.61","Ibirataia"
"96.15","Esperança Nova"
"43.24","Jaicós"
"85.71","Taquaral"
"70.00","Cariri do Tocantins"
"38.91","Quebrangulo"
"85.71","Mato Leitão"
"28.91","Dirceu Arcoverde"
"43.15","Campo Grande do Piauí"
"82.43","Delfim Moreira"
"75.00","Ivatuba"
"25.19","Anapurus"
"87.85","Guamiranga"
"17.84","Wenceslau Guimarães"
"71.48","Vazante"
"42.63","Camaçari"
"91.30","Itaguajé"
"62.37","Biguaçu"
"35.35","Várzea Nova"
"47.19","Sapucaia"
"80.95","Matrinchã"
"26.03","Vigia"
"65.64","Batayporã"
"77.77","Linha Nova"
"86.04","Pindamonhangaba"
"37.79","São Benedito do Sul"
"73.48","Araripe"
"12.78","Careiro da Várzea"
"9.99","Santa Luzia"
"71.32","Jijoca de Jericoacoara"
"82.60","Peritiba"
"69.49","Caiana"
"59.15","Aguiar"
"45.39","Bom Jesus da Serra"
"74.86","Itatiaia"
"84.21","Paranapuã"
"50.60","Graça Aranha"
"57.77","Joanésia"
"48.47","Cândido de Abreu"
"53.88","Fagundes"
"74.96","Itabira"
"38.91","Ibaretama"
"38.61","Angical do Piauí"
"38.46","Miravânia"
"45.00","Brejões"
"50.42","Buritizeiro"
"53.65","Pilões"
"87.50","Nova Itaberaba"
"53.57","Salgado de São Félix"
"58.33","Pium"
"92.00","Álvares Florence"
"57.89","Carmo da Mata"
"58.82","Santa Margarida do Sul"
"72.09","Anhumas"
"74.24","Fronteira dos Vales"
"95.45","São José do Sul"
"31.81","Simões"
"77.77","Estrela do Norte"
"67.97","Catarina"
"48.85","Icó"
"24.90","Muaná"
"24.17","Anamã"
"65.33","São João do Jaguaribe"
"54.71","Vale de São Domingos"
"64.44","Santa Bárbara do Monte Verde"
"88.88","Vista Alegre"
"7.14","Jatobá"
"88.94","Fartura"
"65.38","Ruy Barbosa"
"53.06","São Bento do Norte"
"79.02","Paiçandu"
"59.25","Caridade"
"62.04","Sairé"
"76.47","Macedônia"
"44.70","Passa e Fica"
"21.11","Cajueiro da Praia"
"12.79","Monção"
"9.02","Serrano do Maranhão"
"88.54","Rio Azul"
"23.56","Itiúba"
"20.71","São Francisco do Maranhão"
"9.43","Portel"
"91.83","Córrego Fundo"
"46.55","Coivaras"
"45.81","Cristino Castro"
"84.55","Teixeira Soares"
"55.78","Antônio Dias"
"88.23","Ipiranga do Sul"
"67.21","Tramandaí"
"76.19","Marinópolis"
"32.84","Santana do Maranhão"
"71.01","Areado"
"92.85","Nova Erechim"
"87.25","Santo Antônio do Monte"
"84.89","Tapurah"
"74.46","Santana do Deserto"
"52.65","Uruguaiana"
"64.96","Forquilha"
"19.52","São João de Pirabas"
"64.61","Hugo Napoleão"
"96.38","Nova Santa Rosa"
"39.34","Olhos-d'Água"
"70.76","Embu-Guaçu"
"17.93","Novo Airão"
"83.05","Agronômica"
"96.26","Cassilândia"
"40.38","Serra Grande"
"62.14","Conceição do Castelo"
"88.61","Mandaguaçu"
"65.06","Aroeiras"
"70.66","Flórida Paulista"
"39.58","Inhapi"
"61.94","Francisco Morato"
"26.92","São Bento do Tocantins"
"95.18","Cruzília"
"60.37","Araguaçu"
"67.22","Mara Rosa"
"17.91","Pindaré-Mirim"
"68.42","Iraí de Minas"
"70.82","Campos Gerais"
"70.83","Corupá"
"58.16","Terezópolis de Goiás"
"72.91","Pequeri"
"82.92","Itutinga"
"79.84","Pará de Minas"
"50.10","Barcarena"
"60.92","Alagoa Nova"
"75.71","Pratânia"
"58.99","Cacoal"
"29.41","Siriri"
"29.78","São José do Peixe"
"74.28","Ijaci"
"61.13","Coronel João Sá"
"27.83","Santa Helena"
"80.98","Taubaté"
"89.48","Araçoiaba da Serra"
"74.64","Lambari D'Oeste"
"77.28","Cascavel"
"52.80","Darcinópolis"
"37.80","Barra do Rocha"
"74.35","Figueira"
"51.86","Serra Dourada"
"61.51","Formoso do Araguaia"
"53.16","Verdelândia"
"20.18","Senador La Rocque"
"37.50","Vale do Anari"
"36.20","Cantanhede"
"37.93","Mansidão"
"58.15","Vespasiano"
"24.26","Urbano Santos"
"21.49","São Geraldo do Araguaia"
"84.16","Três Coroas"
"73.07","Itanhaém"
"67.56","Santa Cruz do Escalvado"
"35.43","Januário Cicco"
"67.04","Boa Ventura de São Roque"
"62.93","Santa Fé"
"60.09","Ipatinga"
"33.16","Novo Lino"
"71.92","Crucilândia"
"40.52","Laranjeiras"
"61.07","Cidade Gaúcha"
"22.38","Tasso Fragoso"
"79.75","Palmeira das Missões"
"64.70","Nova Marilândia"
"33.49","Santa Luzia do Paruá"
"53.33","Ressaquinha"
"90.17","Nova Campina"
"70.52","Pilõezinhos"
"83.33","Santa Mônica"
"81.75","Penápolis"
"85.71","Nova Castilho"
"37.20","Lagoinha do Piauí"
"74.49","Pitangueiras"
"77.77","Cruzália"
"47.44","São João da Baliza"
"73.38","Riolândia"
"64.52","São Joaquim do Monte"
"72.50","Porto Firme"
"77.12","Assis Chateaubriand"
"28.12","Óbidos"
"23.74","Cantá"
"75.98","Ceres"
"77.53","Joaquim Távora"
"12.62","Antônio Martins"
"57.37","Cristais"
"61.96","Maragogipe"
"69.17","Ibirité"
"84.41","Pocrane"
"43.55","Ipirá"
"18.66","Caxingó"
"43.13","Rio Formoso"
"81.69","Verê"
"57.02","Jacinto Machado"
"20.61","Bagre"
"67.85","Nova Lacerda"
"60.31","Indaial"
"81.53","Caxias do Sul"
"36.41","Lebon Régis"
"95.65","Paial"
"75.48","Penha"
"28.42","Alvorada D'Oeste"
"38.77","São Sebastião do Umbuzeiro"
"52.13","Alhandra"
"76.59","Campo do Brito"
"37.95","Wagner"
"80.15","Itaguara"
"56.07","Araquari"
"0","Pescaria Brava"
"94.63","Valparaíso"
"45.76","Monte Formoso"
"37.96","Benevides"
"77.63","Juiz de Fora"
"88.13","Barracão"
"40.62","Calumbi"
"28.28","São Gabriel"
"78.51","General Salgado"
"69.29","Restinga"
"41.20","Cáceres"
"81.08","Derrubadas"
"98.07","Três Palmeiras"
"56.45","São José de Espinharas"
"29.75","Novo Progresso"
"77.61","Pinheiral"
"62.50","Berilo"
"67.60","Barbalha"
"75.20","Santa Terezinha"
"56.87","Brejinho"
"82.84","Não-Me-Toque"
"26.18","João Dourado"
"55.76","Senhora do Porto"
"74.15","Jarinu"
"42.16","Senador Alexandre Costa"
"20.77","Ibiquera"
"90.41","Catiguá"
"83.14","Guaraciaba"
"77.77","Ponte Preta"
"76.11","São Jorge do Ivaí"
"38.90","São Francisco do Conde"
"29.87","Nova Ipixuna"
"36.08","Floriano"
"63.33","Santa Amélia"
"46.35","Touros"
"75.92","Monsenhor Paulo"
"72.22","Taboão da Serra"
"65.51","Mira Estrela"
"62.57","Fervedouro"
"54.41","Massaranduba"
"64.80","Barros Cassal"
"71.11","Campanário"
"46.32","Jardim"
"85.39","Santo Antônio do Amparo"
"88.00","Santo Antônio do Caiuá"
"69.69","Patis"
"66.66","Aracitaba"
"67.90","Paulicéia"
"82.14","Figueirópolis D'Oeste"
"54.33","Jauru"
"77.77","Nova Canaã do Norte"
"35.83","Monte Alegre do Piauí"
"81.66","Morro Redondo"
"22.32","Oiapoque"
"70.00","Pedra do Indaiá"
"87.85","Carlinda"
"67.86","Ibiúna"
"38.77","Acari"
"61.22","Pintópolis"
"22.35","Iuiú"
"75.00","Nova Boa Vista"
"36.50","Tuparetama"
"45.72","Tangará"
"42.24","Canutama"
"53.14","Paraíso do Tocantins"
"89.51","Jerônimo Monteiro"
"92.30","Belo Vale"
"74.98","Patos de Minas"
"75.00","Guatapará"
"14.72","Bela Vista do Maranhão"
"68.35","Nobres"
"36.39","Curaçá"
"35.94","Praia Norte"
"74.30","Mato Verde"
"56.52","Tapira"
"48.85","Abreu e Lima"
"22.35","Muquém de São Francisco"
"66.23","Montanha"
"88.57","São Simão"
"86.60","Ibiporã"
"81.15","Gália"
"63.63","Ribeirão Corrente"
"83.33","Novo Cabrais"
"37.32","Carmo"
"39.81","Santa Maria do Suaçuí"
"87.80","Tuneiras do Oeste"
"77.58","Tamboara"
"54.16","Conselheiro Pena"
"53.65","Lagoa dos Patos"
"67.30","Piedade de Ponte Nova"
"56.93","São João do Manhuaçu"
"46.15","Zabelê"
"86.36","Monjolos"
"72.72","Itanhomi"
"68.18","Faxinalzinho"
"65.11","Caldeirão Grande do Piauí"
"50.00","Anísio de Abreu"
"54.86","Alagoinha"
"70.50","Campos Sales"
"82.05","Timbó"
"79.35","Peçanha"
"76.60","Barra do Piraí"
"39.90","Oriximiná"
"69.73","Confins"
"94.02","Três Passos"
"32.08","Sítio do Mato"
"71.42","Gonzaga"
"76.38","Alto Horizonte"
"45.94","Canindé de São Francisco"
"93.42","Lucélia"
"87.50","João Ramalho"
"92.13","Tabatinga"
"35.32","Salinas da Margarida"
"42.30","Elísio Medrado"
"72.25","Parelhas"
"26.82","Bom Jesus"
"68.42","Paulo Bento"
"83.13","Rio Claro"
"71.42","Morro da Garça"
"88.42","Morro Agudo"
"48.03","Rio Novo do Sul"
"89.17","Sobradinho"
"68.73","Poços de Caldas"
"78.33","Capela do Alto"
"78.01","Panorama"
"75.75","Cerro Grande do Sul"
"51.28","Alagoa Grande"
"97.82","Boa Esperança"
"73.07","Erebango"
"70.61","Rio das Ostras"
"94.08","Astorga"
"78.04","Taiúva"
"41.46","Francisco Sá"
"54.68","Ariquemes"
"1.24","Guajará-Mirim"
"88.23","Francisco Dantas"
"49.40","Caroebe"
"79.20","Pedra Bonita"
"73.91","Jumirim"
"28.97","Corumbá de Goiás"
"38.34","Baixa Grande do Ribeiro"
"43.60","Ouricuri"
"75.00","Nortelândia"
"90.24","Ouroeste"
"76.27","Rio Grande da Serra"
"66.66","Campo Alegre de Goiás"
"50.47","Ouro Verde de Minas"
"69.79","Florestópolis"
"71.81","Rio das Flores"
"58.82","Jaborá"
"73.33","Cajuri"
"51.85","Alfredo Vasconcelos"
"5.81","Pio XII"
"52.29","Piracuruca"
"37.50","Santa Cruz da Vitória"
"62.59","Poconé"
"78.57","Antônio Prado de Minas"
"93.61","Bela Vista da Caroba"
"17.14","Pequizeiro"
"35.29","Colônia do Piauí"
"71.27","Carmo de Minas"
"18.73","Pirapemas"
"15.21","Cajazeiras do Piauí"
"79.16","Sumaré"
"42.05","Tonantins"
"82.85","Jaupaci"
"62.32","Santos Dumont"
"88.13","Japira"
"90.14","Paula Freitas"
"82.43","Santo Antônio de Goiás"
"21.20","Rosário"
"30.35","Jandaíra"
"35.00","Marianópolis do Tocantins"
"62.74","Guapirama"
"82.35","Santo Antônio do Paraíso"
"86.71","Bom Despacho"
"54.31","São Sebastião do Alto"
"17.85","Nova Ibiá"
"100.00","Doresópolis"
"24.91","São Domingos do Capim"
"37.58","Viçosa"
"84.90","Ipiguá"
"81.83","Itapeva"
"67.78","Valença"
"69.76","Itanhangá"
"85.71","Pitangueiras"
"69.69","Sandovalina"
"75.51","Santa Cecília do Pavão"
"20.54","Itamari"
"84.13","Juruena"
"48.67","São Miguel"
"65.92","Caçador"
"59.09","Chácara"
"37.34","Santana de Pirapama"
"67.46","Piracaia"
"73.61","Rio Pardo de Minas"
"23.42","Buriti dos Lopes"
"55.52","Caririaçu"
"57.50","Juarez Távora"
"20.23","Coari"
"73.03","Pocinhos"
"47.40","Frei Inocêncio"
"61.53","Casa Grande"
"36.61","Riachuelo"
"70.00","Pedra do Anta"
"62.28","Perdigão"
"67.86","Peruíbe"
"71.23","Paraguaçu"
"45.99","Palmeira dos Índios"
"76.00","Jaraguari"
"63.38","Viana"
"49.38","Baixio"
"47.61","Talismã"
"61.90","Munhoz"
"34.41","Xaxim"
"67.74","Assunção"
"62.07","Bom Jardim"
"97.77","Inúbia Paulista"
"58.91","Monte Carlo"
"58.97","Aurilândia"
"37.55","Matriz de Camaragibe"
"71.83","Anchieta"
"75.00","Aruanã"
"84.73","Conceição das Alagoas"
"55.83","Manoel Ribas"
"55.78","Campo Belo do Sul"
"87.28","Irauçuba"
"79.12","Santa Luzia"
"88.77","Piedade"
"65.31","Sabará"
"69.73","Trindade"
"67.14","Porangatu"
"81.86","São Sebastião do Paraíso"
"80.82","Ribeirão Preto"
"79.20","Trombudo Central"
"77.12","Joselândia"
"24.63","Vereda"
"93.48","Jales"
"79.45","Amparo do Serra"
"31.33","Tacuru"
"61.76","São Domingos"
"64.28","Alcinópolis"
"87.80","Edealina"
"68.57","São Sebastião da Vargem Alegre"
"55.55","Varre-Sai"
"25.60","São Pedro"
"61.65","Lorena"
"16.60","Itaipava do Grajaú"
"32.60","Itagimirim"
"29.11","Itaju do Colônia"
"32.98","Itanagra"
"56.36","Serranópolis de Minas"
"90.90","Seritinga"
"55.21","Irupi"
"87.32","Nova Palma"
"63.11","Fontoura Xavier"
"17.28","São João da Ponta"
"65.79","São José"
"79.52","Elias Fausto"
"80.41","Cláudia"
"51.66","Gastão Vidigal"
"85.01","Ilhabela"
"65.10","Apuí"
"32.00","Conceição do Tocantins"
"66.53","Imbé"
"60.50","Uruburetama"
"41.60","Palmas de Monte Alto"
"16.98","Paragominas"
"80.95","São Bonifácio"
"61.45","Guapimirim"
"97.36","Novo Horizonte"
"73.58","Jandira"
"59.53","João Pessoa"
"78.04","Florínia"
"68.33","São Francisco de Goiás"
"94.28","Porto Rico"
"88.09","Itapirapuã Paulista"
"48.05","Aquiraz"
"100.00","Aspásia"
"33.33","Triunfo Potiguar"
"25.37","Santa Luzia do Itanhy"
"50.65","Confresa"
"41.42","Alto Longá"
"90.00","Nova Esperança do Sudoeste"
"85.18","Ibirá"
"72.39","Itapetim"
"16.40","Água Doce do Maranhão"
"25.70","Coruripe"
"64.96","Nova Floresta"
"88.75","Enéas Marques"
"48.50","Bonito de Santa Fé"
"72.00","Franco da Rocha"
"73.70","Cabreúva"
"68.99","Caieiras"
"37.47","Poço Redondo"
"88.98","Irati"
"60.75","Miguel Pereira"
"77.55","Mandirituba"
"68.57","Senador Cortes"
"96.00","Westfalia"
"67.99","Lavras"
"73.91","Lindolfo Collor"
"72.46","Lauro Muller"
"78.66","Imbituba"
"13.63","Benedito Leite"
"73.91","Italva"
"34.38","Capim Grosso"
"77.71","Apiaí"
"61.29","Eliseu Martins"
"50.90","Inajá"
"51.38","Ponte Alta"
"33.92","Muniz Ferreira"
"63.41","Pequi"
"18.69","Dionísio Cerqueira"
"51.94","Barrocas"
"34.58","Paço do Lumiar"
"86.26","Coronel Vivida"
"57.14","Gaúcha do Norte"
"58.49","União do Sul"
"35.54","Oeiras do Pará"
"84.35","Itajaí"
"76.84","Ilha Solteira"
"21.21","São Gonçalo do Gurguéia"
"81.64","Mairinque"
"8.92","Porto de Moz"
"38.77","Placas"
"37.86","Marataízes"
"48.42","Ipaumirim"
"56.83","Crato"
"47.67","Sardoá"
"87.09","São Tomás de Aquino"
"59.45","João Monlevade"
"86.11","Maripá de Minas"
"12.94","São José da Vitória"
"78.83","Lambari"
"92.45","Caibi"
"65.60","Ilhota"
"46.09","Mamanguape"
"27.05","Ubaitaba"
"52.00","Candiba"
"96.92","Cambira"
"46.71","Rodelas"
"90.47","Salto de Pirapora"
"82.43","Rancharia"
"68.62","Águas Mornas"
"22.09","Goiatins"
"73.91","Ipuiúna"
"74.02","Aracruz"
"73.43","Cantagalo"
"52.26","Porto Calvo"
"62.65","Capitão de Campos"
"86.69","Encruzilhada do Sul"
"79.06","Corumbataí do Sul"
"67.02","Gaspar"
"82.06","Mirassol"
"65.78","Buritinópolis"
"95.04","Douradina"
"95.27","Ronda Alta"
"66.16","Ibatiba"
"57.89","Itapuã do Oeste"
"78.57","Santa Salete"
"54.19","Duas Barras"
"45.20","Catende"
"64.55","Jacupiranga"
"89.53","Jandaia"
"48.67","Mateus Leme"
"70.53","Lavrinhas"
"43.33","Santana de Mangueira"
"80.81","João Neiva"
"50.94","Congonhas do Norte"
"39.13","São Geraldo do Baixio"
"39.94","Ibicoara"
"74.66","Santa Rita do Araguaia"
"72.72","Rio do Prado"
"69.71","Porto Belo"
"81.13","Anita Garibaldi"
"68.20","Bombinhas"
"88.00","Pedra Dourada"
"64.28","Ametista do Sul"
"92.80","Tupaciguara"
"36.66","Ceará-Mirim"
"48.14","Feliz Deserto"
"31.06","Tucano"
"54.09","Itamarati"
"68.79","Embu das Artes"
"78.99","Ilha Comprida"
"56.66","Pilar de Goiás"
"78.19","Itatinga"
"59.57","Abaíra"
"62.80","Maranguape"
"62.71","Ortigueira"
"54.59","São João do Piauí"
"63.79","Afonso Cláudio"
"77.50","São José do Sabugi"
"39.32","Coroaci"
"81.81","Turmalina"
"87.63","Araraquara"
"53.12","Guaribas"
"78.78","Várzea Paulista"
"85.17","Campo Magro"
"66.66","Comendador Gomes"
"100.00","Nova Bréscia"
"100.00","Presidente Castello Branco"
"76.60","Franca"
"89.09","Água Nova"
"57.65","Pedra Azul"
"59.25","Córrego do Bom Jesus"
"54.01","Barreira"
"94.59","Ariranha"
"56.63","Ribas do Rio Pardo"
"73.07","Imbuia"
"51.85","Cordislândia"
"100.00","Santana da Ponte Pensa"
"55.68","Cocal do Sul"
"90.73","Santa Fé do Sul"
"79.68","Caturaí"
"61.99","Santa Filomena"
"77.08","Cravinhos"
"72.73","Russas"
"77.92","Cristiano Otoni"
"25.00","Itaparica"
"77.35","Glória de Dourados"
"96.21","Campo Alegre de Lourdes"
"42.07","Redenção do Gurguéia"
"78.89","Regente Feijó"
"62.45","Ribeirão das Neves"
"81.57","Portelândia"
"93.65","Quintana"
"21.27","João Costa"
"32.43","São Sebastião do Tocantins"
"62.90","Riachinho"
"71.28","Comendador Levy Gasparian"
"63.33","Angelândia"
"67.05","Conceição do Rio Verde"
"45.90","Escada"
"59.32","Palmas"
"45.85","Porto Velho"
"85.53","Presidente Epitácio"
"21.87","Magalhães de Almeida"
"97.61","Pinhal de São Bento"
"75.00","Laranjal Paulista"
"48.97","Caridade do Piauí"
"88.42","Pau dos Ferros"
"70.37","Caiabu"
"40.00","Cruz do Espírito Santo"
"91.48","Caibaté"
"30.73","Barão de Grajaú"
"28.57","Itajuípe"
"87.50","Três Fronteiras"
"92.50","Pedrinópolis"
"68.27","Chavantes"
"29.50","Igarapé Grande"
"15.68","Urubici"
"89.42","Ninheira"
"81.66","Inconfidentes"
"77.41","Riacho de Santana"
"17.68","Gurupá"
"30.95","Santa Bárbara do Pará"
"47.89","Alagoinha"
"53.84","São Félix do Piauí"
"78.60","Ipaussu"
"30.90","Ibicuí"
"88.67","Guaraciaba"
"80.24","Acreúna"
"48.75","Piatã"
"90.90","Santa Cruz da Esperança"
"53.40","Barra de Guabiraba"
"83.26","Guará"
"87.75","Dois Córregos"
"83.33","Marmelópolis"
"44.00","Brasileira"
"84.84","Vale do Sol"
"64.37","Bela Cruz"
"83.38","Candelária"
"70.90","Cabrália Paulista"
"93.96","Califórnia"
"57.39","Caldas"
"80.50","Camboriú"
"71.42","Urandi"
"56.75","Passagem Franca do Piauí"
"83.33","Canudos do Vale"
"90.66","Paraíso"
"87.78","Paraisópolis"
"46.80","São José da Boa Vista"
"79.96","Pedreira"
"79.54","Vitória das Missões"
"66.66","São Luíz do Norte"
"68.11","Bom Jesus do Amparo"
"96.72","Guzolândia"
"67.10","Bataguassu"
"77.12","Cambará"
"40.13","Entre Rios"
"47.04","Propriá"
"14.65","Buritirana"
"75.00","Iracemápolis"
"42.30","Ritápolis"
"77.77","Brodowski"
"85.11","Bastos"
"5.91","Bequimão"
"70.58","Uru"
"61.29","Muribeca"
"89.05","Nova Odessa"
"19.39","Governador Dix-Sept Rosado"
"67.10","Cerqueira César"
"9.37","Joca Marques"
"63.67","Ubaí"
"27.07","Pinheiro"
"60.71","Alcantil"
"78.75","Vidal Ramos"
"75.48","Fraiburgo"
"85.71","Paiva"
"39.70","Jampruca"
"49.20","Goioxim"
"88.88","São Marcos"
"77.40","Currais Novos"
"57.14","Trombas"
"44.82","Brunópolis"
"75.00","Augusto de Lima"
"51.38","Santa Helena"
"51.81","Olinda"
"82.60","Piracema"
"15.03","Junco do Maranhão"
"61.81","Sales Oliveira"
"67.55","Cedro"
"69.30","Manhuaçu"
"73.29","Monte Sião"
"34.75","Mãe do Rio"
"75.00","Nhandeara"
"38.81","Caucaia"
"36.44","Atilio Vivacqua"
"29.94","Laranjal do Jari"
"60.00","Glaucilândia"
"62.11","Campo Limpo Paulista"
"92.68","Doutor Maurício Cardoso"
"57.14","Nova Monte Verde"
"24.59","Santana"
"48.10","Guamaré"
"45.90","Flores"
"66.66","São Nicolau"
"61.22","Bela Vista do Piauí"
"46.25","Massapê do Piauí"
"63.41","Itaguaru"
"86.95","Bálsamo"
"36.06","Santo Antônio das Missões"
"44.14","Santa Cruz da Baixa Verde"
"40.62","Santa Rita de Ibitipoca"
"95.55","Sossêgo"
"84.91","Santa Gertrudes"
"92.45","Toledo"
"73.63","Abadia de Goiás"
"45.81","Boninal"
"29.92","Prado"
"85.71","Pinhalzinho"
"96.96","Marapoama"
"79.71","Anhembi"
"58.22","Apiacá"
"47.23","Itapororoca"
"43.33","Amontada"
"43.01","Cachoeiro de Itapemirim"
"72.72","Três Ranchos"
"61.47","Aracoiaba"
"25.82","Aurora do Pará"
"88.99","Vicentinópolis"
"46.87","Eldorado"
"43.37","São Bento do Una"
"76.95","Porto União"
"73.07","Materlândia"
"84.37","Simão Pereira"
"55.31","Macaubal"
"63.00","Nioaque"
"70.82","Ubatuba"
"74.46","Machacalis"
"29.75","Macururé"
"76.61","Vitória"
"84.77","Ibaté"
"62.50","Marilândia"
"30.30","Macajuba"
"78.57","Santana do Garambéu"
"71.69","Santana do Acaraú"
